[58] Mul_58 | op: Mul | in: ['input.152', 'onnx::Mul_436'] | out: ['onnx::Conv_437']
[59] Conv_59 | op: Conv | in: ['onnx::Conv_437', 'onnx::Conv_744', 'onnx::Conv_745'] | out: ['input.160']
[60] Sigmoid_60 | op: Sigmoid | in: ['input.160'] | out: ['onnx::Mul_440']
[61] Mul_61 | op: Mul | in: ['input.160', 'onnx::Mul_440'] | out: ['onnx::Conv_441']
[62] Conv_62 | op: Conv | in: ['onnx::Conv_441', 'onnx::Conv_747', 'onnx::Conv_748'] | out: ['input.168']
[63] Sigmoid_63 | op: Sigmoid | in: ['input.168'] | out: ['onnx::Mul_444']
[64] Mul_64 | op: Mul | in: ['input.168', 'onnx::Mul_444'] | out: ['onnx::Add_445']
[65] Add_65 | op: Add | in: ['onnx::Add_445', 'onnx::Conv_433'] | out: ['input.172']
[66] Conv_66 | op: Conv | in: ['input.172', 'onnx::Conv_750', 'onnx::Conv_751'] | out: ['input.180']
[67] Sigmoid_67 | op: Sigmoid | in: ['input.180'] | out: ['onnx::Mul_449']
[68] Mul_68 | op: Mul | in: ['input.180', 'onnx::Mul_449'] | out: ['onnx::Conv_450']
[69] Conv_69 | op: Conv | in: ['onnx::Conv_450', 'onnx::Conv_753', 'onnx::Conv_754'] | out: ['input.188']
[70] Sigmoid_70 | op: Sigmoid | in: ['input.188'] | out: ['onnx::Mul_453']
[71] Mul_71 | op: Mul | in: ['input.188', 'onnx::Mul_453'] | out: ['onnx::Conv_454']
[72] Conv_72 | op: Conv | in: ['onnx::Conv_454', 'onnx::Conv_756', 'onnx::Conv_757'] | out: ['input.196']
[73] Sigmoid_73 | op: Sigmoid | in: ['input.196'] | out: ['onnx::Mul_457']
[74] Mul_74 | op: Mul | in: ['input.196', 'onnx::Mul_457'] | out: ['onnx::Add_458']
[75] Add_75 | op: Add | in: ['onnx::Add_458', 'input.172'] | out: ['input.200']
[76] Conv_76 | op: Conv | in: ['input.200', 'onnx::Conv_759', 'onnx::Conv_760'] | out: ['input.208']
[77] Sigmoid_77 | op: Sigmoid | in: ['input.208'] | out: ['onnx::Mul_462']
[78] Mul_78 | op: Mul | in: ['input.208', 'onnx::Mul_462'] | out: ['onnx::Conv_463']
[79] Conv_79 | op: Conv | in: ['onnx::Conv_463', 'onnx::Conv_762', 'onnx::Conv_763'] | out: ['input.216']
[80] Sigmoid_80 | op: Sigmoid | in: ['input.216'] | out: ['onnx::Mul_466']
[81] Mul_81 | op: Mul | in: ['input.216', 'onnx::Mul_466'] | out: ['onnx::Conv_467']
[82] Conv_82 | op: Conv | in: ['onnx::Conv_467', 'onnx::Conv_765', 'onnx::Conv_766'] | out: ['input.224']
[83] Sigmoid_83 | op: Sigmoid | in: ['input.224'] | out: ['onnx::Mul_470']
[84] Mul_84 | op: Mul | in: ['input.224', 'onnx::Mul_470'] | out: ['onnx::Add_471']
[85] Add_85 | op: Add | in: ['onnx::Add_471', 'input.200'] | out: ['input.228']
[86] Conv_86 | op: Conv | in: ['input.228', 'onnx::Conv_768', 'onnx::Conv_769'] | out: ['input.236']
[87] Sigmoid_87 | op: Sigmoid | in: ['input.236'] | out: ['onnx::Mul_475']
[88] Mul_88 | op: Mul | in: ['input.236', 'onnx::Mul_475'] | out: ['onnx::Conv_476']
[89] Conv_89 | op: Conv | in: ['onnx::Conv_476', 'onnx::Conv_771', 'onnx::Conv_772'] | out: ['input.244']
[90] Sigmoid_90 | op: Sigmoid | in: ['input.244'] | out: ['onnx::Mul_479']
[91] Mul_91 | op: Mul | in: ['input.244', 'onnx::Mul_479'] | out: ['onnx::Conv_480']
[92] Conv_92 | op: Conv | in: ['onnx::Conv_480', 'onnx::Conv_774', 'onnx::Conv_775'] | out: ['input.252']
[93] Sigmoid_93 | op: Sigmoid | in: ['input.252'] | out: ['onnx::Mul_483']
[94] Mul_94 | op: Mul | in: ['input.252', 'onnx::Mul_483'] | out: ['onnx::Add_484']
[95] Add_95 | op: Add | in: ['onnx::Add_484', 'input.228'] | out: ['onnx::Concat_485']
[96] Concat_96 | op: Concat | in: ['onnx::Concat_485', 'onnx::Concat_429'] | out: ['input.256']
[97] GlobalAveragePool_97 | op: GlobalAveragePool | in: ['input.256'] | out: ['input.260']
[98] Conv_98 | op: Conv | in: ['input.260', 'backbone.stage2.1.attention.fc.weight', 'backbone.stage2.1.attention.fc.bias'] | out: ['input.264']
[99] HardSigmoid_99 | op: HardSigmoid | in: ['input.264'] | out: ['onnx::Mul_489']
[100] Mul_100 | op: Mul | in: ['input.256', 'onnx::Mul_489'] | out: ['input.268']
[101] Conv_101 | op: Conv | in: ['input.268', 'onnx::Conv_777', 'onnx::Conv_778'] | out: ['input.276']
[102] Sigmoid_102 | op: Sigmoid | in: ['input.276'] | out: ['onnx::Mul_493']
[103] Mul_103 | op: Mul | in: ['input.276', 'onnx::Mul_493'] | out: ['onnx::Conv_494']
[104] Conv_104 | op: Conv | in: ['onnx::Conv_494', 'onnx::Conv_780', 'onnx::Conv_781'] | out: ['input.284']
[105] Sigmoid_105 | op: Sigmoid | in: ['input.284'] | out: ['onnx::Mul_497']
[106] Mul_106 | op: Mul | in: ['input.284', 'onnx::Mul_497'] | out: ['onnx::Conv_498']
[107] Conv_107 | op: Conv | in: ['onnx::Conv_498', 'onnx::Conv_783', 'onnx::Conv_784'] | out: ['input.292']
[108] Sigmoid_108 | op: Sigmoid | in: ['input.292'] | out: ['onnx::Mul_501']
[109] Mul_109 | op: Mul | in: ['input.292', 'onnx::Mul_501'] | out: ['onnx::Concat_502']
[110] Conv_110 | op: Conv | in: ['onnx::Conv_498', 'onnx::Conv_786', 'onnx::Conv_787'] | out: ['input.300']
[111] Sigmoid_111 | op: Sigmoid | in: ['input.300'] | out: ['onnx::Mul_505']
[112] Mul_112 | op: Mul | in: ['input.300', 'onnx::Mul_505'] | out: ['onnx::Conv_506']
[113] Conv_113 | op: Conv | in: ['onnx::Conv_506', 'onnx::Conv_789', 'onnx::Conv_790'] | out: ['input.308']
[114] Sigmoid_114 | op: Sigmoid | in: ['input.308'] | out: ['onnx::Mul_509']
[115] Mul_115 | op: Mul | in: ['input.308', 'onnx::Mul_509'] | out: ['onnx::Conv_510']
[116] Conv_116 | op: Conv | in: ['onnx::Conv_510', 'onnx::Conv_792', 'onnx::Conv_793'] | out: ['input.316']
[117] Sigmoid_117 | op: Sigmoid | in: ['input.316'] | out: ['onnx::Mul_513']
[118] Mul_118 | op: Mul | in: ['input.316', 'onnx::Mul_513'] | out: ['onnx::Conv_514']
[119] Conv_119 | op: Conv | in: ['onnx::Conv_514', 'onnx::Conv_795', 'onnx::Conv_796'] | out: ['input.324']
[120] Sigmoid_120 | op: Sigmoid | in: ['input.324'] | out: ['onnx::Mul_517']
[121] Mul_121 | op: Mul | in: ['input.324', 'onnx::Mul_517'] | out: ['onnx::Add_518']
[122] Add_122 | op: Add | in: ['onnx::Add_518', 'onnx::Conv_506'] | out: ['input.328']
[123] Conv_123 | op: Conv | in: ['input.328', 'onnx::Conv_798', 'onnx::Conv_799'] | out: ['input.336']
[124] Sigmoid_124 | op: Sigmoid | in: ['input.336'] | out: ['onnx::Mul_522']
[125] Mul_125 | op: Mul | in: ['input.336', 'onnx::Mul_522'] | out: ['onnx::Conv_523']
[126] Conv_126 | op: Conv | in: ['onnx::Conv_523', 'onnx::Conv_801', 'onnx::Conv_802'] | out: ['input.344']
[127] Sigmoid_127 | op: Sigmoid | in: ['input.344'] | out: ['onnx::Mul_526']
[128] Mul_128 | op: Mul | in: ['input.344', 'onnx::Mul_526'] | out: ['onnx::Conv_527']
[129] Conv_129 | op: Conv | in: ['onnx::Conv_527', 'onnx::Conv_804', 'onnx::Conv_805'] | out: ['input.352']
[130] Sigmoid_130 | op: Sigmoid | in: ['input.352'] | out: ['onnx::Mul_530']
[131] Mul_131 | op: Mul | in: ['input.352', 'onnx::Mul_530'] | out: ['onnx::Add_531']
[132] Add_132 | op: Add | in: ['onnx::Add_531', 'input.328'] | out: ['input.356']
[133] Conv_133 | op: Conv | in: ['input.356', 'onnx::Conv_807', 'onnx::Conv_808'] | out: ['input.364']
[134] Sigmoid_134 | op: Sigmoid | in: ['input.364'] | out: ['onnx::Mul_535']
[135] Mul_135 | op: Mul | in: ['input.364', 'onnx::Mul_535'] | out: ['onnx::Conv_536']
[136] Conv_136 | op: Conv | in: ['onnx::Conv_536', 'onnx::Conv_810', 'onnx::Conv_811'] | out: ['input.372']
[137] Sigmoid_137 | op: Sigmoid | in: ['input.372'] | out: ['onnx::Mul_539']
[138] Mul_138 | op: Mul | in: ['input.372', 'onnx::Mul_539'] | out: ['onnx::Conv_540']
[139] Conv_139 | op: Conv | in: ['onnx::Conv_540', 'onnx::Conv_813', 'onnx::Conv_814'] | out: ['input.380']
[140] Sigmoid_140 | op: Sigmoid | in: ['input.380'] | out: ['onnx::Mul_543']
[141] Mul_141 | op: Mul | in: ['input.380', 'onnx::Mul_543'] | out: ['onnx::Add_544']
[142] Add_142 | op: Add | in: ['onnx::Add_544', 'input.356'] | out: ['input.384']
[143] Conv_143 | op: Conv | in: ['input.384', 'onnx::Conv_816', 'onnx::Conv_817'] | out: ['input.392']
[144] Sigmoid_144 | op: Sigmoid | in: ['input.392'] | out: ['onnx::Mul_548']
[145] Mul_145 | op: Mul | in: ['input.392', 'onnx::Mul_548'] | out: ['onnx::Conv_549']
[146] Conv_146 | op: Conv | in: ['onnx::Conv_549', 'onnx::Conv_819', 'onnx::Conv_820'] | out: ['input.400']
[147] Sigmoid_147 | op: Sigmoid | in: ['input.400'] | out: ['onnx::Mul_552']
[148] Mul_148 | op: Mul | in: ['input.400', 'onnx::Mul_552'] | out: ['onnx::Conv_553']
[149] Conv_149 | op: Conv | in: ['onnx::Conv_553', 'onnx::Conv_822', 'onnx::Conv_823'] | out: ['input.408']
[150] Sigmoid_150 | op: Sigmoid | in: ['input.408'] | out: ['onnx::Mul_556']
[151] Mul_151 | op: Mul | in: ['input.408', 'onnx::Mul_556'] | out: ['onnx::Add_557']
[152] Add_152 | op: Add | in: ['onnx::Add_557', 'input.384'] | out: ['onnx::Concat_558']
[153] Concat_153 | op: Concat | in: ['onnx::Concat_558', 'onnx::Concat_502'] | out: ['input.412']
[154] GlobalAveragePool_154 | op: GlobalAveragePool | in: ['input.412'] | out: ['input.416']
[155] Conv_155 | op: Conv | in: ['input.416', 'backbone.stage3.1.attention.fc.weight', 'backbone.stage3.1.attention.fc.bias'] | out: ['input.420']
[156] HardSigmoid_156 | op: HardSigmoid | in: ['input.420'] | out: ['onnx::Mul_562']
[157] Mul_157 | op: Mul | in: ['input.412', 'onnx::Mul_562'] | out: ['input.424']
[158] Conv_158 | op: Conv | in: ['input.424', 'onnx::Conv_825', 'onnx::Conv_826'] | out: ['input.432']
[159] Sigmoid_159 | op: Sigmoid | in: ['input.432'] | out: ['onnx::Mul_566']
[160] Mul_160 | op: Mul | in: ['input.432', 'onnx::Mul_566'] | out: ['onnx::Conv_567']
[161] Conv_161 | op: Conv | in: ['onnx::Conv_567', 'onnx::Conv_828', 'onnx::Conv_829'] | out: ['input.440']
[162] Sigmoid_162 | op: Sigmoid | in: ['input.440'] | out: ['onnx::Mul_570']
[163] Mul_163 | op: Mul | in: ['input.440', 'onnx::Mul_570'] | out: ['onnx::Conv_571']
[164] Conv_164 | op: Conv | in: ['onnx::Conv_571', 'onnx::Conv_831', 'onnx::Conv_832'] | out: ['input.448']
[165] Sigmoid_165 | op: Sigmoid | in: ['input.448'] | out: ['onnx::Mul_574']
[166] Mul_166 | op: Mul | in: ['input.448', 'onnx::Mul_574'] | out: ['onnx::MaxPool_575']
[167] MaxPool_167 | op: MaxPool | in: ['onnx::MaxPool_575'] | out: ['onnx::Concat_576']
[168] MaxPool_168 | op: MaxPool | in: ['onnx::MaxPool_575'] | out: ['onnx::Concat_577']
[169] MaxPool_169 | op: MaxPool | in: ['onnx::MaxPool_575'] | out: ['onnx::Concat_578']
[170] Concat_170 | op: Concat | in: ['onnx::MaxPool_575', 'onnx::Concat_576', 'onnx::Concat_577', 'onnx::Concat_578'] | out: ['input.452']
[171] Conv_171 | op: Conv | in: ['input.452', 'onnx::Conv_834', 'onnx::Conv_835'] | out: ['input.460']
[172] Sigmoid_172 | op: Sigmoid | in: ['input.460'] | out: ['onnx::Mul_582']
[173] Mul_173 | op: Mul | in: ['input.460', 'onnx::Mul_582'] | out: ['onnx::Conv_583']
